complaint,category,priority
Issue requiring attention: my delivery is two days later than the estimated date. I would appreciate your assistance.,delivery_order,medium
Customer assistance needed: I need help choosing the most suitable service package. I would appreciate your assistance.,general_enquiry,medium
Support request: my payment fails whenever I try to complete the purchase. Please help me resolve this soon.,billing_payment,medium
Critical problem: all my saved work disappeared after the latest system update. Please respond as soon as possible.,technical_support,high
Non-urgent request: I need to change my delivery address before shipping. Please reply when convenient.,delivery_order,low
General enquiry: I need to know the estimated delivery duration. Thank you.,delivery_order,low
Urgent issue: an important order was sent to the wrong address. I cannot continue using the service until this is resolved.,delivery_order,high
General enquiry: I need information about viewing my account login history. There is no urgent deadline.,account_access,low
Urgent issue: the system displays a critical error and cannot be accessed. I cannot continue using the service until this is resolved.,technical_support,high
Quick question: I need to know how to update my saved payment method. I only need general guidance.,billing_payment,low
General enquiry: I want information about delivery charges. Please reply when convenient.,delivery_order,low
Non-urgent request: I need information about downloading the desktop application. There is no urgent deadline.,technical_support,low
Customer assistance needed: the parcel tracking information has not updated. Please investigate this when possible.,delivery_order,medium
Non-urgent request: I want to know whether the service supports an older device. Thank you.,technical_support,low
Critical problem: an important order was sent to the wrong address. The problem is causing major disruption.,delivery_order,high
Quick question: I need to change my delivery address before shipping. There is no urgent deadline.,delivery_order,low
Quick question: I want information about the services provided. Please reply when convenient.,general_enquiry,low
Support request: my request to reschedule the delivery did not work. Please help me resolve this soon.,delivery_order,medium
Support request: my subscription renewed even though I intended to cancel it. Please investigate this when possible.,billing_payment,medium
General enquiry: I want information about the monthly billing cycle. I only need general guidance.,billing_payment,low
Critical problem: someone logged into my account without permission. This is seriously affecting my ability to use the service.,account_access,high
General enquiry: I need instructions for updating my profile name. I only need general guidance.,account_access,low
Immediate assistance required: a critical business enquiry has received no response. Please respond as soon as possible.,general_enquiry,high
Immediate assistance required: I need urgent service information before an important deadline today. I cannot continue using the service until this is resolved.,general_enquiry,high
Quick question: I want to know how to delete an inactive account. I only need general guidance.,account_access,low
Information request: I need instructions for changing the application language. There is no urgent deadline.,technical_support,low
Information request: I want to know the company operating hours. Thank you.,general_enquiry,low
Quick question: I want to know the company operating hours. Thank you.,general_enquiry,low
Issue requiring attention: my subscription renewed even though I intended to cancel it. Please investigate this when possible.,billing_payment,medium
Non-urgent request: I need to change my delivery address before shipping. Thank you.,delivery_order,low
Please respond urgently: the system displays a critical error and cannot be accessed. I cannot continue using the service until this is resolved.,technical_support,high
Non-urgent request: I need to know how to update my saved payment method. Thank you.,billing_payment,low
Customer assistance needed: my device fails to connect on the first attempt. I would appreciate your assistance.,technical_support,medium
Customer assistance needed: notifications are not appearing correctly. Please investigate this when possible.,technical_support,medium
Issue requiring attention: several items are missing from my order. Please help me resolve this soon.,delivery_order,medium
Information request: I need instructions for updating my profile name. Please reply when convenient.,account_access,low
Please respond urgently: the service disconnects continuously and no work can be completed. I cannot continue using the service until this is resolved.,technical_support,high
Please assist: the password reset email is not arriving. Please investigate this when possible.,account_access,medium
General enquiry: I need instructions for changing the application language. Please reply when convenient.,technical_support,low
Please respond urgently: my personal account details may have been exposed. Please respond as soon as possible.,account_access,high
Customer assistance needed: my account is locked after several login attempts. Please investigate this when possible.,account_access,medium
Please respond urgently: my account was suddenly suspended and I cannot access important information. Please respond as soon as possible.,account_access,high
General enquiry: I want information about the services provided. Thank you.,general_enquiry,low
Urgent issue: my personal account details may have been exposed. This is seriously affecting my ability to use the service.,account_access,high
Please respond urgently: my account password and recovery email were changed by another person. I cannot continue using the service until this is resolved.,account_access,high
Critical problem: I received a security alert from an unknown device. Please respond as soon as possible.,account_access,high
Quick question: I want to know whether two orders can be combined. There is no urgent deadline.,delivery_order,low
Quick question: I want to know how to track my order. Please reply when convenient.,delivery_order,low
Non-urgent request: I want to know how to change my password. Please reply when convenient.,account_access,low
Information request: I want information about delivery charges. Please reply when convenient.,delivery_order,low
Immediate assistance required: my package has been missing for more than one week. I cannot continue using the service until this is resolved.,delivery_order,high
Support request: the invoice contains an incorrect tax amount. The issue is affecting normal use.,billing_payment,medium
Information request: I want information about delivery charges. There is no urgent deadline.,delivery_order,low
Please respond urgently: I received a security alert from an unknown device. Please respond as soon as possible.,account_access,high
General enquiry: I want to know how to contact customer support. There is no urgent deadline.,general_enquiry,low
Customer assistance needed: I need a recommendation based on my requirements. The issue is affecting normal use.,general_enquiry,medium
Support request: my account login works only occasionally. Please help me resolve this soon.,account_access,medium
Customer assistance needed: the verification code expires before I can use it. The issue is affecting normal use.,account_access,medium
Urgent issue: my parcel is marked as delivered but I did not receive it. Please respond as soon as possible.,delivery_order,high
Please assist: notifications are not appearing correctly. Please investigate this when possible.,technical_support,medium
Information request: I need to change my delivery address before shipping. Thank you.,delivery_order,low
General enquiry: I need instructions for changing the application language. I only need general guidance.,technical_support,low
Urgent issue: all my saved work disappeared after the latest system update. I cannot continue using the service until this is resolved.,technical_support,high
Please respond urgently: my package has been missing for more than one week. Please respond as soon as possible.,delivery_order,high
Information request: I want to know which payment methods are accepted. There is no urgent deadline.,billing_payment,low
Customer assistance needed: notifications are not appearing correctly. I would appreciate your assistance.,technical_support,medium
Please assist: my device fails to connect on the first attempt. Please help me resolve this soon.,technical_support,medium
Urgent issue: I require immediate safety information about a product. The problem is causing major disruption.,general_enquiry,high
Non-urgent request: I want to know whether the service supports an older device. There is no urgent deadline.,technical_support,low
Critical problem: my urgent order is still in transit after the required deadline. I cannot continue using the service until this is resolved.,delivery_order,high
Information request: I want to enable two-factor authentication. Thank you.,account_access,low
Immediate assistance required: a completed refund was unexpectedly reversed. This is seriously affecting my ability to use the service.,billing_payment,high
General enquiry: I need to know the estimated delivery duration. There is no urgent deadline.,delivery_order,low
Immediate assistance required: an important order was sent to the wrong address. I cannot continue using the service until this is resolved.,delivery_order,high
Urgent issue: a completed refund was unexpectedly reversed. Please respond as soon as possible.,billing_payment,high
General enquiry: I need the location of the nearest customer service centre. Please reply when convenient.,general_enquiry,low
Issue requiring attention: my account is locked after several login attempts. The issue is affecting normal use.,account_access,medium
Please assist: the verification code expires before I can use it. The issue is affecting normal use.,account_access,medium
Critical problem: my account password and recovery email were changed by another person. The problem is causing major disruption.,account_access,high
Information request: I want information about the services provided. I only need general guidance.,general_enquiry,low
Non-urgent request: I would like another copy of my invoice. I only need general guidance.,billing_payment,low
Customer assistance needed: my payment fails whenever I try to complete the purchase. I would appreciate your assistance.,billing_payment,medium
Critical problem: the website has been completely unavailable since yesterday. I cannot continue using the service until this is resolved.,technical_support,high
Critical problem: the invoice amount is much higher than the agreed price. The problem is causing major disruption.,billing_payment,high
Critical problem: my account password and recovery email were changed by another person. This is seriously affecting my ability to use the service.,account_access,high
General enquiry: I want to know how to delete an inactive account. I only need general guidance.,account_access,low
Quick question: I want to know how to change my password. Please reply when convenient.,account_access,low
Immediate assistance required: my account was suddenly suspended and I cannot access important information. The problem is causing major disruption.,account_access,high
Please respond urgently: the website has been completely unavailable since yesterday. This is seriously affecting my ability to use the service.,technical_support,high
Urgent issue: the website has been completely unavailable since yesterday. This is seriously affecting my ability to use the service.,technical_support,high
Please respond urgently: an important order was sent to the wrong address. Please respond as soon as possible.,delivery_order,high
Non-urgent request: I want to enable two-factor authentication. Thank you.,account_access,low
Immediate assistance required: my account password and recovery email were changed by another person. Please respond as soon as possible.,account_access,high
Quick question: I want to know whether two orders can be combined. Please reply when convenient.,delivery_order,low
Support request: the application freezes after several minutes. I would appreciate your assistance.,technical_support,medium
Please respond urgently: the service disconnects continuously and no work can be completed. This is seriously affecting my ability to use the service.,technical_support,high
Quick question: I want information about the monthly billing cycle. Thank you.,billing_payment,low
Please assist: my approved refund has not arrived. The issue is affecting normal use.,billing_payment,medium
Customer assistance needed: my service enquiry has received no response for two days. Please investigate this when possible.,general_enquiry,medium
Critical problem: my account password and recovery email were changed by another person. I cannot continue using the service until this is resolved.,account_access,high
Quick question: I want information about delivery charges. Please reply when convenient.,delivery_order,low
Immediate assistance required: my personal account details may have been exposed. Please respond as soon as possible.,account_access,high
Support request: some application buttons do not respond consistently. Please investigate this when possible.,technical_support,medium
Critical problem: my package has been missing for more than one week. The problem is causing major disruption.,delivery_order,high
Customer assistance needed: I need clarification about whether the service covers my location. Please investigate this when possible.,general_enquiry,medium
General enquiry: I need to change my delivery address before shipping. I only need general guidance.,delivery_order,low
Please assist: the invoice contains an incorrect tax amount. The issue is affecting normal use.,billing_payment,medium
Urgent issue: all my saved work disappeared after the latest system update. This is seriously affecting my ability to use the service.,technical_support,high
Immediate assistance required: my urgent order is still in transit after the required deadline. The problem is causing major disruption.,delivery_order,high
Support request: my account login works only occasionally. I would appreciate your assistance.,account_access,medium
Critical problem: my bank account was charged multiple times for one purchase. The problem is causing major disruption.,billing_payment,high
Issue requiring attention: I need a recommendation based on my requirements. I would appreciate your assistance.,general_enquiry,medium
Issue requiring attention: my account is locked after several login attempts. Please help me resolve this soon.,account_access,medium
Urgent issue: a critical business enquiry has received no response. The problem is causing major disruption.,general_enquiry,high
Urgent issue: I require immediate safety information about a product. Please respond as soon as possible.,general_enquiry,high
