complaint,category,priority,group_id
"Someone changed my password and recovery email, and now I am locked out.",account_access,high,train-account_access-high-01
"Hi support, someone changed my password and recovery email, and now I am locked out.",account_access,high,train-account_access-high-01
"hey, someone changed my password and recovery email, and now I am locked out. can someone check?",account_access,high,train-account_access-high-01
"Someone changed my password and recovery email, and now I am locked out. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,high,train-account_access-high-01
"Can you look into this for me: someone changed my password and recovery email, and now I am locked out.",account_access,high,train-account_access-high-01
I can see logins from another country and my account settings were altered.,account_access,high,train-account_access-high-02
"Hi support, i can see logins from another country and my account settings were altered.",account_access,high,train-account_access-high-02
"hey, i can see logins from another country and my account settings were altered. can someone check?",account_access,high,train-account_access-high-02
"I can see logins from another country and my account settings were altered. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,high,train-account_access-high-02
Can you look into this for me: i can see logins from another country and my account settings were altered.,account_access,high,train-account_access-high-02
My account has been hacked and the intruder enabled their own two-factor device.,account_access,high,train-account_access-high-03
"Hi support, my account has been hacked and the intruder enabled their own two-factor device.",account_access,high,train-account_access-high-03
"hey, my account has been hacked and the intruder enabled their own two-factor device. can someone check?",account_access,high,train-account_access-high-03
"My account has been hacked and the intruder enabled their own two-factor device. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,high,train-account_access-high-03
Can you look into this for me: my account has been hacked and the intruder enabled their own two-factor device.,account_access,high,train-account_access-high-03
An unknown person took over my profile and removed my sign-in options.,account_access,high,train-account_access-high-04
"Hi support, an unknown person took over my profile and removed my sign-in options.",account_access,high,train-account_access-high-04
"hey, an unknown person took over my profile and removed my sign-in options. can someone check?",account_access,high,train-account_access-high-04
"An unknown person took over my profile and removed my sign-in options. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,high,train-account_access-high-04
Can you look into this for me: an unknown person took over my profile and removed my sign-in options.,account_access,high,train-account_access-high-04
"I did not reset my password, but it was changed and I cannot get back in.",account_access,high,train-account_access-high-05
"Hi support, i did not reset my password, but it was changed and I cannot get back in.",account_access,high,train-account_access-high-05
"hey, i did not reset my password, but it was changed and I cannot get back in. can someone check?",account_access,high,train-account_access-high-05
"I did not reset my password, but it was changed and I cannot get back in. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,high,train-account_access-high-05
"Can you look into this for me: i did not reset my password, but it was changed and I cannot get back in.",account_access,high,train-account_access-high-05
My recovery phone now belongs to someone else and the account is compromised.,account_access,high,train-account_access-high-06
"Hi support, my recovery phone now belongs to someone else and the account is compromised.",account_access,high,train-account_access-high-06
"hey, my recovery phone now belongs to someone else and the account is compromised. can someone check?",account_access,high,train-account_access-high-06
"My recovery phone now belongs to someone else and the account is compromised. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,high,train-account_access-high-06
Can you look into this for me: my recovery phone now belongs to someone else and the account is compromised.,account_access,high,train-account_access-high-06
A person I do not know changed the login credentials and locked me out.,account_access,high,train-account_access-high-07
"Hi support, a person I do not know changed the login credentials and locked me out.",account_access,high,train-account_access-high-07
"hey, a person I do not know changed the login credentials and locked me out. can someone check?",account_access,high,train-account_access-high-07
"A person I do not know changed the login credentials and locked me out. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,high,train-account_access-high-07
Can you look into this for me: a person I do not know changed the login credentials and locked me out.,account_access,high,train-account_access-high-07
The account is sending messages by itself after an unfamiliar security change.,account_access,high,train-account_access-high-08
"Hi support, the account is sending messages by itself after an unfamiliar security change.",account_access,high,train-account_access-high-08
"hey, the account is sending messages by itself after an unfamiliar security change. can someone check?",account_access,high,train-account_access-high-08
"The account is sending messages by itself after an unfamiliar security change. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,high,train-account_access-high-08
Can you look into this for me: the account is sending messages by itself after an unfamiliar security change.,account_access,high,train-account_access-high-08
How do I enable two-factor authentication on my profile?,account_access,low,train-account_access-low-01
"Hi support, how do I enable two-factor authentication on my profile?",account_access,low,train-account_access-low-01
